case_id,sample_id,t,cohort,baseline_status,unet_parent_candidates,unet_daughter_1_candidates,unet_daughter_2_candidates,parent_distance_um,daughter_1_distance_um,daughter_2_distance_um,parent_frame_peak_count,daughter_frame_peak_count,distinct_daughter_pair,complete_triplet,det_threshold,pool_kernel_um,tta,graph_mutated,edges_inferred,source_detector,source_link_strategy,v19_parent_frame_count,v19_daughter_frame_count,parent_frame_peak_ratio,daughter_frame_peak_ratio
DEV-6bba_3c5691b6-t22-p23000172,6bba_3c5691b6,22,positive_control,official_positive,1,1,1,1.8168052317185792,0.9084026158592896,1.6750116604071745,60,60,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,46,41,1.3043478260869565,1.4634146341463414
DEV-6bba_3c5691b6-t6-p7000054,6bba_3c5691b6,6,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,2,1,1,2.9575446425202108,3.494694639736067,0.9084026158592896,71,71,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,47,45,1.5106382978723405,1.5777777777777777
DEV-6bba_3fda6b25-t28-p29000542,6bba_3fda6b25,28,positive_control,official_positive,1,1,1,2.03125,3.350023320814349,0.9084026158592896,102,103,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,135,129,0.7555555555555555,0.7984496124031008
DEV-6bba_57b7cc1e-t12-p13000378,6bba_57b7cc1e,12,baseline_nonofficial_action,projected_actions_not_official_tp,1,2,3,0.40625,1.6750116604071745,5.170718337426629,1002,1007,True,True,0.97,3.0,xy_d4_8_view,False,False,cfar_sidelobe,bipartite,864,866,1.1597222222222223,1.1628175519630486
DEV-6bba_57b7cc1e-t23-p24000720,6bba_57b7cc1e,23,baseline_unavailable,no_parent_detection_within_7um,1,1,1,2.1877232028983924,3.447145558284419,3.374565944310468,995,990,True,True,0.97,3.0,xy_d4_8_view,False,False,cfar_sidelobe,bipartite,868,868,1.1463133640552996,1.140552995391705
DEV-6bba_57b7cc1e-t77-p78002270,6bba_57b7cc1e,77,baseline_unavailable,no_parent_detection_within_7um,1,1,2,1.7235727791422095,3.471001521535247,2.333728575156074,995,992,True,True,0.97,3.0,xy_d4_8_view,False,False,cfar_sidelobe,bipartite,853,854,1.1664712778429074,1.161592505854801
DEV-6bba_5c039895-t10-p11000170,6bba_5c039895,10,baseline_nonofficial_action,projected_actions_not_official_tp,1,1,1,1.7235727791422095,2.0714766773970688,1.9902104160113323,112,111,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,96,100,1.1666666666666667,1.11
DEV-6bba_5c039895-t52-p53000762,6bba_5c039895,52,baseline_unavailable,no_parent_detection_within_7um,1,1,1,0.5745242597140698,2.0714766773970688,0.9084026158592896,91,89,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,74,71,1.2297297297297298,1.2535211267605635
DEV-6bba_5c039895-t58-p59000855,6bba_5c039895,58,positive_control,official_positive,1,1,1,3.25,1.8168052317185792,4.89189779763437,84,83,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,86,83,0.9767441860465116,1.0
DEV-6bba_5c824876-t2-p3000057,6bba_5c824876,2,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,1,1.86167137607581,3.300390601883359,0.40625,231,237,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,101,111,2.287128712871287,2.135135135135135
DEV-6bba_6321a359-t8-p9000094,6bba_6321a359,8,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,2,1,0.40625,1.8168052317185792,0.9084026158592896,50,46,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,36,40,1.3888888888888888,1.15
DEV-6bba_67ebd073-t86-p87000772,6bba_67ebd073,86,positive_control,official_positive,1,1,1,1.9902104160113323,0.9084026158592896,0.9084026158592896,88,83,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,51,42,1.7254901960784315,1.9761904761904763
DEV-6bba_7d3058ae-t32-p33000475,6bba_7d3058ae,32,baseline_unavailable,no_pair_inside_14um_formation_radius,2,1,2,3.8540258983302125,1.7235727791422095,0.40625,83,84,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,56,61,1.4821428571428572,1.3770491803278688
DEV-6bba_7d3058ae-t83-p84001401,6bba_7d3058ae,83,positive_control,official_positive,1,1,1,1.6750116604071745,0.40625,0.9084026158592896,89,88,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,66,70,1.3484848484848484,1.2571428571428571
DEV-6bba_87289e13-t77-p78001026,6bba_87289e13,77,baseline_nonofficial_action,projected_actions_not_official_tp,1,1,1,2.0714766773970688,0.40625,1.1490485194281397,65,70,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,60,60,1.0833333333333333,1.1666666666666667
DEV-6bba_8b7818bf-t3-p4000023,6bba_8b7818bf,3,baseline_unavailable,no_parent_detection_within_7um,1,1,1,1.4647552056572457,0.8125,0.5745242597140698,66,62,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,45,37,1.4666666666666666,1.6756756756756757
DEV-6bba_8b7818bf-t33-p34000238,6bba_8b7818bf,33,baseline_unavailable,no_parent_detection_within_7um,1,1,1,2.368824207280903,2.03125,1.86167137607581,76,76,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,44,43,1.7272727272727273,1.7674418604651163
DEV-6bba_907271db-t96-p97001173,6bba_907271db,96,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,1,0.9084026158592896,3.447145558284419,1.7235727791422095,42,48,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,46,40,0.9130434782608695,1.2
DEV-6bba_9e23430b-t89-p90001032,6bba_9e23430b,89,baseline_unavailable,no_parent_detection_within_7um,1,2,1,0.8125,0.40625,3.65625,161,154,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,35,45,4.6,3.422222222222222
DEV-6bba_cdcfe533-t28-p29000464,6bba_cdcfe533,28,positive_control,official_positive,1,1,1,1.8168052317185792,0.9084026158592896,1.284675299443404,268,267,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,218,214,1.2293577981651376,1.2476635514018692
DEV-6bba_cdcfe533-t48-p49000935,6bba_cdcfe533,48,positive_control,official_positive,1,1,1,2.0714766773970688,1.21875,1.86167137607581,277,283,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,222,212,1.2477477477477477,1.3349056603773586
DEV-6bba_cdcfe533-t52-p53001039,6bba_cdcfe533,52,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,2,1.6750116604071745,1.284675299443404,1.1490485194281397,288,285,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,192,196,1.5,1.4540816326530612
DEV-6bba_cdcfe533-t86-p87002049,6bba_cdcfe533,86,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,1,1.625,2.03125,1.86167137607581,296,288,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,235,220,1.2595744680851064,1.309090909090909
DEV-6bba_d2b9fc0c-t72-p73000666,6bba_d2b9fc0c,72,baseline_nonofficial_action,projected_actions_not_official_tp,2,1,1,2.1877232028983924,2.6012692214570947,1.86167137607581,225,224,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,210,192,1.0714285714285714,1.1666666666666667
DEV-6bba_d2b9fc0c-t78-p79000759,6bba_d2b9fc0c,78,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,2,2,1,2.632800908728193,2.0714766773970688,1.7235727791422095,236,232,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,201,190,1.1741293532338308,1.2210526315789474
DEV-6bba_d3da753b-t63-p64000722,6bba_d3da753b,63,baseline_nonofficial_action,projected_actions_not_official_tp,1,1,1,2.1877232028983924,0.40625,1.6750116604071745,123,123,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,112,117,1.0982142857142858,1.0512820512820513
DEV-6bba_debd7bfa-t12-p13000353,6bba_debd7bfa,12,positive_control,official_positive,1,1,1,0.8125,1.8168052317185792,2.0714766773970688,228,222,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,159,139,1.4339622641509433,1.5971223021582734
DEV-6bba_debd7bfa-t26-p27000673,6bba_debd7bfa,26,positive_control,official_positive,2,2,2,1.7235727791422095,5.202538442914189,1.9902104160113323,187,183,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,144,147,1.2986111111111112,1.2448979591836735
DEV-6bba_debd7bfa-t36-p37000853,6bba_debd7bfa,36,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,1,3.374565944310468,3.300390601883359,1.7235727791422095,156,149,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,146,140,1.0684931506849316,1.0642857142857143
DEV-6bba_debd7bfa-t37-p38000863,6bba_debd7bfa,37,positive_control,official_positive,1,1,1,0.9084026158592896,0.5745242597140698,2.0714766773970688,149,154,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,140,135,1.0642857142857143,1.1407407407407408
DEV-6bba_ef7b4f7e-t14-p15000245,6bba_ef7b4f7e,14,baseline_unavailable,no_parent_detection_within_7um,1,1,1,0.9084026158592896,1.7235727791422095,1.4647552056572457,64,63,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,45,53,1.4222222222222223,1.1886792452830188
DEV-6bba_ef7b4f7e-t89-p90001375,6bba_ef7b4f7e,89,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,1,0.8125,3.25,1.8168052317185792,79,80,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,37,42,2.135135135135135,1.9047619047619047
DEV-6bba_fc5f39dc-t24-p25000064,6bba_fc5f39dc,24,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,2,1,1,2.6012692214570947,2.4375,1.6750116604071745,154,147,True,True,0.97,3.0,xy_d4_8_view,False,False,cfar_sidelobe,bipartite,110,124,1.4,1.185483870967742
DEV-6bba_fc5f39dc-t54-p55000245,6bba_fc5f39dc,54,baseline_nonofficial_action,projected_actions_not_official_tp,2,1,0,1.86167137607581,,,222,225,False,False,0.97,3.0,xy_d4_8_view,False,False,cfar_sidelobe,bipartite,208,201,1.0673076923076923,1.1194029850746268
DEV-6bba_fe670320-t0-p1000014,6bba_fe670320,0,positive_control,official_positive,1,1,1,1.6750116604071745,1.625,1.625,43,39,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,34,45,1.2647058823529411,0.8666666666666667
DEV-6bba_fe670320-t66-p67000712,6bba_fe670320,66,positive_control,official_positive,1,1,1,0.9084026158592896,3.5648292823780494,2.4375,170,177,True,True,0.97,3.0,xy_d4_8_view,False,False,components,greedy,112,105,1.5178571428571428,1.6857142857142857
