case_id,sample_id,t,cohort,baseline_status,source_detector,source_link_strategy,anchor_count,parent_peak_count,anchored_parent_count,division_action_count,registered_geometric_action_count,official_tp_action_count,official_positive_available,source_zero_perturbation,semantic_scoring_enabled,assignment_enabled,graph_mutated
DEV-6bba_d2b9fc0c-t78-p79000759,6bba_d2b9fc0c,78,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,components,greedy,185,236,226,3547,4,4,True,True,False,False,False
DEV-6bba_d3da753b-t63-p64000722,6bba_d3da753b,63,baseline_nonofficial_action,projected_actions_not_official_tp,components,greedy,119,123,120,834,1,1,True,True,False,False,False
DEV-6bba_debd7bfa-t12-p13000353,6bba_debd7bfa,12,positive_control,official_positive,components,greedy,132,228,212,2749,1,1,True,True,False,False,False
DEV-6bba_debd7bfa-t26-p27000673,6bba_debd7bfa,26,positive_control,official_positive,components,greedy,129,187,183,1960,6,6,True,True,False,False,False
DEV-6bba_debd7bfa-t36-p37000853,6bba_debd7bfa,36,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,components,greedy,129,156,154,1486,1,1,True,True,False,False,False
DEV-6bba_debd7bfa-t37-p38000863,6bba_debd7bfa,37,positive_control,official_positive,components,greedy,146,149,145,1511,1,1,True,True,False,False,False
DEV-6bba_ef7b4f7e-t14-p15000245,6bba_ef7b4f7e,14,baseline_unavailable,no_parent_detection_within_7um,components,greedy,53,64,54,96,0,0,False,True,False,False,False
DEV-6bba_ef7b4f7e-t89-p90001375,6bba_ef7b4f7e,89,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,components,greedy,45,79,65,264,1,1,True,True,False,False,False
DEV-6bba_fc5f39dc-t24-p25000064,6bba_fc5f39dc,24,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,cfar_sidelobe,bipartite,105,154,141,1696,2,2,True,True,False,False,False
DEV-6bba_fc5f39dc-t54-p55000245,6bba_fc5f39dc,54,baseline_nonofficial_action,projected_actions_not_official_tp,cfar_sidelobe,bipartite,204,222,219,3424,0,0,False,True,False,False,False
DEV-6bba_fe670320-t0-p1000014,6bba_fe670320,0,positive_control,official_positive,components,greedy,0,43,0,0,0,0,False,True,False,False,False
DEV-6bba_fe670320-t66-p67000712,6bba_fe670320,66,positive_control,official_positive,components,greedy,104,170,140,1856,1,1,True,True,False,False,False
