sample_id,detector,link_strategy,route_label,keep_fraction,activated,activation_reason,fragmented_node_fraction,component_count,protected_components,removed_components,removed_nodes,removed_edges,baseline_nodes,shadow_nodes,estimated_total_nodes,baseline_edge_tp,shadow_edge_tp,edge_tp_delta,baseline_edge_fp,shadow_edge_fp,baseline_edge_fn,shadow_edge_fn,baseline_edge_jaccard,shadow_edge_jaccard,edge_jaccard_delta,baseline_adjusted_edge_jaccard,shadow_adjusted_edge_jaccard,adjusted_edge_delta,baseline_node_recall,shadow_node_recall,node_recall_delta,baseline_division_tp,shadow_division_tp,division_tp_delta,baseline_division_fp,shadow_division_fp,source_zero_perturbation
44b6_2a2eff9f,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.1661287634286407,7289,2603,0,0,0,65997,65997,56367,155,155,0,94,94,55,55,0.5098684210526315,0.5098684210526315,0.0,0.5011575922082069,0.5011575922082069,0.0,1.0,1.0,0.0,0,0,0,40,40,True
44b6_2a2eff9f,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.99,False,fragmentation_below_gate,0.1661287634286407,7289,2603,0,0,0,65997,65997,56367,155,155,0,94,94,55,55,0.5098684210526315,0.5098684210526315,0.0,0.5011575922082069,0.5011575922082069,0.0,1.0,1.0,0.0,0,0,0,40,40,True
44b6_d754aa59,components,greedy,components/greedy,0.95,True,fragmentation_gate_passed,0.572801537722249,2346,0,312,312,0,6243,5931,5171,41,43,2,12,10,29,27,0.5,0.5375,0.0374999999999999,0.489634500096693,0.529600174047573,0.0399656739508799,0.8472222222222222,0.8333333333333334,-0.0138888888888888,0,0,0,0,0,True
44b6_d754aa59,components,greedy,components/greedy,0.97,True,fragmentation_gate_passed,0.572801537722249,2346,0,187,187,0,6243,6056,5171,41,41,0,12,12,29,29,0.5,0.5,0.0,0.489634500096693,0.491442660994005,0.0018081608973119,0.8472222222222222,0.8472222222222222,0.0,0,0,0,0,0,True
44b6_d754aa59,components,greedy,components/greedy,0.99,True,fragmentation_gate_passed,0.572801537722249,2346,0,62,62,0,6243,6181,5171,41,41,0,12,12,29,29,0.5,0.5,0.0,0.489634500096693,0.4902339972925933,0.0005994971959002,0.8472222222222222,0.8472222222222222,0.0,0,0,0,0,0,True
6bba_05db0fb1,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.95,False,fragmentation_below_gate,0.2102748467021508,8503,2996,0,0,0,64254,64254,69800,537,537,0,279,279,646,646,0.3673050615595075,0.3673050615595075,0.0,0.3702235055013542,0.3702235055013542,0.0,0.6330349877949553,0.6330349877949553,0.0,1,1,0,107,107,True
6bba_05db0fb1,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.2102748467021508,8503,2996,0,0,0,64254,64254,69800,537,537,0,279,279,646,646,0.3673050615595075,0.3673050615595075,0.0,0.3702235055013542,0.3702235055013542,0.0,0.6330349877949553,0.6330349877949553,0.0,1,1,0,107,107,True
6bba_05db0fb1,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.99,False,fragmentation_below_gate,0.2102748467021508,8503,2996,0,0,0,64254,64254,69800,537,537,0,279,279,646,646,0.3673050615595075,0.3673050615595075,0.0,0.3702235055013542,0.3702235055013542,0.0,0.6330349877949553,0.6330349877949553,0.0,1,1,0,107,107,True
6bba_32db13fc,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.95,False,fragmentation_below_gate,0.3301489414420615,6793,2354,0,0,0,36323,36323,38705,393,393,0,301,301,418,418,0.3534172661870504,0.3534172661870504,0.0,0.3555922821489611,0.3555922821489611,0.0,0.7250580046403712,0.7250580046403712,0.0,1,1,0,132,132,True
6bba_32db13fc,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.3301489414420615,6793,2354,0,0,0,36323,36323,38705,393,393,0,301,301,418,418,0.3534172661870504,0.3534172661870504,0.0,0.3555922821489611,0.3555922821489611,0.0,0.7250580046403712,0.7250580046403712,0.0,1,1,0,132,132,True
6bba_32db13fc,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.99,False,fragmentation_below_gate,0.3301489414420615,6793,2354,0,0,0,36323,36323,38705,393,393,0,301,301,418,418,0.3534172661870504,0.3534172661870504,0.0,0.3555922821489611,0.3555922821489611,0.0,0.7250580046403712,0.7250580046403712,0.0,1,1,0,132,132,True
6bba_55b7eebe,components,greedy,components/greedy,0.95,False,fragmentation_below_gate,0.4425049094479598,1348,0,0,0,0,4583,4583,5257,251,251,0,77,77,437,437,0.3281045751633987,0.3281045751633987,0.0,0.3323112041088073,0.3323112041088073,0.0,0.5049645390070922,0.5049645390070922,0.0,0,0,0,0,0,True
6bba_55b7eebe,components,greedy,components/greedy,0.97,False,fragmentation_below_gate,0.4425049094479598,1348,0,0,0,0,4583,4583,5257,251,251,0,77,77,437,437,0.3281045751633987,0.3281045751633987,0.0,0.3323112041088073,0.3323112041088073,0.0,0.5049645390070922,0.5049645390070922,0.0,0,0,0,0,0,True
6bba_55b7eebe,components,greedy,components/greedy,0.99,False,fragmentation_below_gate,0.4425049094479598,1348,0,0,0,0,4583,4583,5257,251,251,0,77,77,437,437,0.3281045751633987,0.3281045751633987,0.0,0.3323112041088073,0.3323112041088073,0.0,0.5049645390070922,0.5049645390070922,0.0,0,0,0,0,0,True
6bba_b329af44,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.95,False,fragmentation_below_gate,0.2156547204824866,9304,3468,0,0,0,68976,68976,62465,692,692,0,446,446,576,576,0.4037339556592765,0.4037339556592765,0.0,0.3995256601573194,0.3995256601573194,0.0,0.7887537993920972,0.7887537993920972,0.0,1,1,0,164,164,True
6bba_b329af44,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.2156547204824866,9304,3468,0,0,0,68976,68976,62465,692,692,0,446,446,576,576,0.4037339556592765,0.4037339556592765,0.0,0.3995256601573194,0.3995256601573194,0.0,0.7887537993920972,0.7887537993920972,0.0,1,1,0,164,164,True
6bba_b329af44,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.99,False,fragmentation_below_gate,0.2156547204824866,9304,3468,0,0,0,68976,68976,62465,692,692,0,446,446,576,576,0.4037339556592765,0.4037339556592765,0.0,0.3995256601573194,0.3995256601573194,0.0,0.7887537993920972,0.7887537993920972,0.0,1,1,0,164,164,True
6bba_ebdf3b34,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.95,False,fragmentation_below_gate,0.2501546710661992,7967,2688,0,0,0,53339,53339,56847,492,492,0,229,229,311,311,0.4767441860465116,0.4767441860465116,0.0,0.4796861506262628,0.4796861506262628,0.0,0.8016528925619835,0.8016528925619835,0.0,1,1,0,103,103,True
6bba_ebdf3b34,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.2501546710661992,7967,2688,0,0,0,53339,53339,56847,492,492,0,229,229,311,311,0.4767441860465116,0.4767441860465116,0.0,0.4796861506262628,0.4796861506262628,0.0,0.8016528925619835,0.8016528925619835,0.0,1,1,0,103,103,True
6bba_ebdf3b34,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.99,False,fragmentation_below_gate,0.2501546710661992,7967,2688,0,0,0,53339,53339,56847,492,492,0,229,229,311,311,0.4767441860465116,0.4767441860465116,0.0,0.4796861506262628,0.4796861506262628,0.0,0.8016528925619835,0.8016528925619835,0.0,1,1,0,103,103,True
6bba_ebff6e76,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.95,False,fragmentation_below_gate,0.3618632575007238,14113,4679,0,0,0,65627,65627,41596,499,499,0,590,590,765,765,0.2691477885652643,0.2691477885652643,0.0,0.2535984797206353,0.2535984797206353,0.0,0.7465857359635811,0.7465857359635811,0.0,0,0,0,194,194,True
6bba_ebff6e76,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.3618632575007238,14113,4679,0,0,0,65627,65627,41596,499,499,0,590,590,765,765,0.2691477885652643,0.2691477885652643,0.0,0.2535984797206353,0.2535984797206353,0.0,0.7465857359635811,0.7465857359635811,0.0,0,0,0,194,194,True
6bba_ebff6e76,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.99,False,fragmentation_below_gate,0.3618632575007238,14113,4679,0,0,0,65627,65627,41596,499,499,0,590,590,765,765,0.2691477885652643,0.2691477885652643,0.0,0.2535984797206353,0.2535984797206353,0.0,0.7465857359635811,0.7465857359635811,0.0,0,0,0,194,194,True
